iri,caseNumber,date,ecli,chamber
estleg:RK_2_18_8890_46,2-18-8890/46,2020-10-28,ECLI:EE:RK:2020:2.18.8890.46,Tsiviilkolleegium
estleg:RK_2_18_9099_65,2-18-9099/65,2020-06-17,ECLI:EE:RK:2020:2.18.9099.65,Tsiviilkolleegium
estleg:RK_2_18_9218_40,2-18-9218/40,2020-09-16,ECLI:EE:RK:2020:2.18.9218.40,Tsiviilkolleegium
estleg:RK_2_18_9475_52,2-18-9475/52,2020-12-02,ECLI:EE:RK:2020:2.18.9475.52,Tsiviilkolleegium
estleg:RK_2_19_10050_23,2-19-10050/23,2020-05-15,ECLI:EE:RK:2020:2.19.10050.23,Tsiviilkolleegium
estleg:RK_2_19_10326_24,2-19-10326/24,2020-01-29,ECLI:EE:RK:2020:2.19.10326.24,Tsiviilkolleegium
estleg:RK_2_19_10760_30,2-19-10760/30,2020-11-04,ECLI:EE:RK:2020:2.19.10760.30,Tsiviilkolleegium
estleg:RK_2_19_11532_18,2-19-11532/18,2020-01-30,ECLI:EE:RK:2020:2.19.11532.18,Tsiviilkolleegium
estleg:RK_2_19_13540_43,2-19-13540/43,2020-04-01,ECLI:EE:RK:2020:2.19.13540.43,Tsiviilkolleegium
estleg:RK_2_19_13966_21,2-19-13966/21,2020-04-15,ECLI:EE:RK:2020:2.19.13966.21,Tsiviilkolleegium
estleg:RK_2_19_14126_12,2-19-14126/12,2020-04-08,ECLI:EE:RK:2020:2.19.14126.12,Tsiviilkolleegium
estleg:RK_2_19_16249_17,2-19-16249/17,2020-10-07,ECLI:EE:RK:2020:2.19.16249.17,Tsiviilkolleegium
estleg:RK_2_19_17384_22,2-19-17384/22,2020-05-21,ECLI:EE:RK:2020:2.19.17384.22,Tsiviilkolleegium
estleg:RK_2_19_17970_20,2-19-17970/20,2020-11-18,ECLI:EE:RK:2020:2.19.17970.20,Tsiviilkolleegium
estleg:RK_2_19_18271_13,2-19-18271/13,2020-11-04,ECLI:EE:RK:2020:2.19.18271.13,Tsiviilkolleegium
estleg:RK_2_19_19495_9,2-19-19495/9,2020-06-08,ECLI:EE:RK:2020:2.19.19495.9,Tsiviilkolleegium
estleg:RK_2_19_19561_13,2-19-19561/13,2020-04-22,ECLI:EE:RK:2020:2.19.19561.13,Tsiviilkolleegium
estleg:RK_2_19_3645_39,2-19-3645/39,2020-09-30,ECLI:EE:RK:2020:2.19.3645.39,Tsiviilkolleegium
estleg:RK_2_19_4765_21,2-19-4765/21,2020-02-19,ECLI:EE:RK:2020:2.19.4765.21,Tsiviilkolleegium
estleg:RK_2_19_6210_26,2-19-6210/26,2020-01-28,ECLI:EE:RK:2020:2.19.6210.26,Tsiviilkolleegium
estleg:RK_2_19_6222_30,2-19-6222/30,2020-02-03,ECLI:EE:RK:2020:2.19.6222.30,Tsiviilkolleegium
